,Player,Maps,K,D,A,KD,ACS_Map,K_Map,D_Map,A_Map
34,frz,2,37,32,frz,frz,frz,frz,frz,frz
35,Tacolilla,6,91,87,Tacolilla,Tacolilla,Tacolilla,Tacolilla,Tacolilla,Tacolilla
36,crashies,8,147,115,crashies,crashies,crashies,crashies,crashies,crashies
37,jawgemo,4,70,65,jawgemo,jawgemo,jawgemo,jawgemo,jawgemo,jawgemo
38,zeek,2,32,32,zeek,zeek,zeek,zeek,zeek,zeek
39,Cryocells,8,131,130,Cryocells,Cryocells,Cryocells,Cryocells,Cryocells,Cryocells
40,foxz,7,116,103,foxz,foxz,foxz,foxz,foxz,foxz
41,Monyet,3,45,41,Monyet,Monyet,Monyet,Monyet,Monyet,Monyet
42,qRaxs,5,79,70,qRaxs,qRaxs,qRaxs,qRaxs,qRaxs,qRaxs
43,s0m,8,135,118,s0m,s0m,s0m,s0m,s0m,s0m
44,kiNgg,6,95,82,kiNgg,kiNgg,kiNgg,kiNgg,kiNgg,kiNgg
45,f0rsakeN,2,25,34,f0rsakeN,f0rsakeN,f0rsakeN,f0rsakeN,f0rsakeN,f0rsakeN
46,Reita,2,25,30,Reita,Reita,Reita,Reita,Reita,Reita
47,cauanzin,17,280,276,cauanzin,cauanzin,cauanzin,cauanzin,cauanzin,cauanzin
48,dgzin,4,80,60,dgzin,dgzin,dgzin,dgzin,dgzin,dgzin
49,mojj,5,74,74,mojj,mojj,mojj,mojj,mojj,mojj
50,t3xture,3,46,45,t3xture,t3xture,t3xture,t3xture,t3xture,t3xture
51,Brave,3,41,49,Brave,Brave,Brave,Brave,Brave,Brave
52,Redgar,2,25,32,Redgar,Redgar,Redgar,Redgar,Redgar,Redgar
53,Boostio,4,65,61,Boostio,Boostio,Boostio,Boostio,Boostio,Boostio
54,ANGE1,9,130,122,ANGE1,ANGE1,ANGE1,ANGE1,ANGE1,ANGE1
55,Jinggg,2,27,29,Jinggg,Jinggg,Jinggg,Jinggg,Jinggg,Jinggg
56,Fit1nho,5,72,69,Fit1nho,Fit1nho,Fit1nho,Fit1nho,Fit1nho,Fit1nho
57,Lmemore,2,27,31,Lmemore,Lmemore,Lmemore,Lmemore,Lmemore,Lmemore
58,Chronicle,14,218,198,Chronicle,Chronicle,Chronicle,Chronicle,Chronicle,Chronicle
59,Shao,9,137,84,Shao,Shao,Shao,Shao,Shao,Shao
60,AAAAY,3,39,49,AAAAY,AAAAY,AAAAY,AAAAY,AAAAY,AAAAY
61,yay,5,67,54,yay,yay,yay,yay,yay,yay
62,Zyppan,9,133,112,Zyppan,Zyppan,Zyppan,Zyppan,Zyppan,Zyppan
63,Alfajer,14,221,187,Alfajer,Alfajer,Alfajer,Alfajer,Alfajer,Alfajer
64,MrFaliN,5,69,84,MrFaliN,MrFaliN,MrFaliN,MrFaliN,MrFaliN,MrFaliN
65,invy,4,58,58,invy,invy,invy,invy,invy,invy
